rank,title,release_date,metascore
289.,Bayonetta,2010-01-05,90
290.,Diablo III: Ultimate Evil Edition,2014-08-19,90
291.,ICO,2001-09-24,90
292.,Tom Clancy's Ghost Recon Advanced Warfighter,2006-03-09,90
293.,World of Goo,2008-10-12,90
294.,Mario & Luigi: Superstar Saga,2003-11-17,90
295.,Slay the Princess,2023-10-23,90
296.,Tony Hawk's Underground,2003-10-27,90
297.,Ape Escape,1999-06-23,90
298.,Syphon Filter,1999-02-17,90
299.,Mario & Luigi: Bowser's Inside Story,2009-09-14,90
300.,Trials Evolution,2012-04-18,90
301.,Grand Theft Auto IV: The Lost and Damned,2009-02-17,90
302.,FIFA Soccer 12,2011-09-27,90
304.,Black & White,2001-03-26,90
305.,Ratchet & Clank: Going Commando,2003-11-11,90
306.,NBA Street Vol. 2,2003-04-28,90
307.,FIFA Soccer 10,2009-10-20,90
308.,Marvel's Spider-Man 2,2023-10-20,90
309.,The Legend of Zelda: The Wind Waker HD,2013-09-20,90
310.,Portal,2007-10-10,90
311.,The Legend of Zelda: Phantom Hourglass,2007-10-01,90
312.,NHL 2001,2000-09-28,90
313.,NHL 2001,2000-09-28,90
315.,Advance Wars: Dual Strike,2005-08-22,90
316.,MLB 11: The Show,2011-03-08,90
317.,NieR: Automata - Become as Gods Edition,2018-06-26,90
318.,Jak and Daxter: The Precursor Legacy,2001-12-04,90
319.,Star Wars Rogue Leader: Rogue Squadron II,2001-11-18,90
321.,Deus Ex,2000-06-23,90
322.,NCAA Football 2002,2001-07-23,90
325.,Panzer Dragoon Orta,2003-01-12,90
326.,Portal: Still Alive,2008-10-22,90
327.,Half-Life 2: Episode Two,2007-10-10,90
328.,Shin Megami Tensei: Persona 4,2008-12-09,90
329.,Hollow Knight,2018-06-12,90
330.,MLB 09: The Show,2009-03-03,90
332.,Ori and the Will of the Wisps,2020-03-11,90
333.,MVP Baseball 2004,2004-03-09,90
334.,WWF SmackDown! 2: Know Your Role,2000-11-20,90
335.,Sid Meier's Civilization III,2001-10-30,90
337.,The Last of Us Part II Remastered,2024-01-19,90
338.,LIMBO,2010-07-21,90
339.,Silent Hunter III,2005-03-15,90
340.,Mark of the Ninja,2012-09-07,90
341.,Chained Echoes,2022-12-08,90
342.,Super Meat Boy,2010-10-20,90
343.,Dead Space 2,2011-01-25,90
344.,Pikmin 2,2004-08-30,90
345.,DAVE THE DIVER,2023-06-28,90
346.,Okami HD,2012-10-30,90
347.,Geometry Wars: Retro Evolved 2,2008-07-30,90
348.,Sid Meier's Civilization V,2010-09-21,90
349.,Super Mario 3D Land,2011-11-13,90
351.,Death Stranding 2: On The Beach,2025-06-26,90
353.,The Stanley Parable: Ultra Deluxe,2022-04-27,90
354.,Metroid Prime 3: Corruption,2007-08-27,90
356.,Monster Hunter: World,2018-01-26,90
357.,Dota 2,2013-07-09,90
358.,TimeSplitters 2,2002-10-08,90
359.,Guild Wars 2,2012-08-28,90
360.,Forza Motorsport 2,2007-05-29,90
361.,Pushmo,2011-12-08,90
362.,Freedom Force,2002-03-24,90
363.,FIFA Soccer 13,2012-09-25,90
364.,Into the Breach,2018-02-27,90
365.,Sekiro: Shadows Die Twice,2019-03-22,90
366.,Tekken 8,2024-01-26,90
367.,Chicory: A Colorful Tale,2021-06-10,90
368.,GTR 2,2006-09-29,90
369.,Total War: Shogun 2,2011-03-15,90
370.,Empire: Total War,2009-03-03,90
373.,Final Fantasy VIII,1999-09-07,90
374.,NBA 2K12,2011-10-04,90
375.,Bayonetta + Bayonetta 2,2018-02-16,90
377.,Astro Bot Rescue Mission,2018-10-02,90
